date,n_contracts,front_carry,back_carry,inversion,hump_or_u_shape,material_slope_sign_changes,one_factor_shape_limitation
2023-09-28,4,0.02983979578325291,0.03061624552915375,False,True,1,True
2023-10-09,4,0.03622155395457468,0.02999799853966932,True,True,1,True
2023-10-10,4,0.06290190744257326,0.034461296246065865,True,False,0,False
2023-10-11,4,0.12347636508421034,0.03875275719970456,True,False,0,False
2023-10-12,4,0.09038928483446293,0.03618690829784099,True,False,0,False
2023-10-13,3,0.029845522922603555,0.030520392391475415,False,True,1,True
2023-10-16,3,0.05485253030717252,0.03584316751488014,True,False,0,False
2023-10-17,3,0.043990527073892546,0.03594955712400411,True,False,0,False
2023-10-18,3,0.05275435035428229,0.03582435154529851,True,False,0,False
2023-10-19,3,0.03886791185612473,0.0364124799117497,True,True,1,True
2023-10-20,3,0.031168033389773413,0.036662386191173284,False,True,1,True
2023-10-23,4,0.09657265118354096,0.04774050463445557,True,False,0,False
2023-10-24,4,0.11898285313159826,0.05149972458104659,True,False,0,False
2023-10-25,4,0.111954472839471,0.053896624091100194,True,False,0,False
2023-10-26,4,0.09527745357152846,0.05282579227346612,True,False,0,False
2023-10-27,4,0.040629418554599804,0.043347258742981114,False,False,0,False
2023-10-30,4,0.10581268609689705,0.04789331516970555,True,False,0,False
2023-10-31,4,0.09069118783483444,0.04665197455890649,True,False,0,False
2023-11-01,4,0.08996150215409715,0.046728597895110906,True,False,0,False
2023-11-02,4,0.04359550738774487,0.043826502452102366,False,True,1,True
2023-11-03,4,0.07603500451273036,0.04328110825448261,True,True,1,True
2023-11-06,4,0.061935950514723864,0.04276592701288014,True,True,1,True
2023-11-07,4,0.10767176926662525,0.04632636433455267,True,True,1,True
2023-11-08,4,0.17527685410248572,0.05039669274534442,True,False,0,False
2023-11-09,4,0.20437667536871726,0.05036512487022612,True,False,0,False
2023-11-10,3,0.0860123922772491,0.05304727244649567,True,False,0,False
2023-11-13,3,0.10112913583392373,0.05966813210163039,True,False,0,False
2023-11-14,3,0.1153530681394736,0.06478428252378171,True,False,0,False
2023-11-15,3,0.11066935043314903,0.06601953192377678,True,False,0,False
2023-11-16,3,0.1210381241290075,0.06929510732856976,True,False,0,False
2023-11-17,3,0.10492045693129085,0.07087386753866828,True,False,0,False
2023-11-20,4,0.09532727219415099,0.07147414341218536,True,False,0,False
2023-11-21,4,0.12426203805549085,0.07403027984679951,True,False,0,False
2023-11-22,4,0.10784762153299482,0.06917458988719423,True,True,1,True
2023-11-23,4,0.06557888390886055,0.06098648875781783,True,True,1,True
2023-11-24,4,0.10577927315136067,0.0651121803206633,True,False,0,False
2023-11-27,4,0.10023559427280741,0.07077419864188286,True,False,0,False
2023-11-28,4,0.1553836080400818,0.0774438132424205,True,False,0,False
2023-11-29,4,0.14334802380577935,0.07757690827599548,True,False,0,False
2023-11-30,4,0.17710552944991848,0.08566507191742183,True,False,0,False
2023-12-01,4,0.16512884730868505,0.08646120129805884,True,False,0,False
2023-12-04,4,0.26252077285717873,0.0955062315261558,True,False,0,False
2023-12-05,4,0.18958705655822747,0.10184254233687211,True,False,0,False
2023-12-06,4,0.16479960321270026,0.10087150733550311,True,True,2,True
2023-12-07,4,0.05880587539456747,0.07539673486671589,False,True,1,True
2023-12-08,3,0.05973659784532708,0.07227250717791858,False,True,1,True
2023-12-11,3,0.07052741057955464,0.07509789530935071,False,True,1,True
2023-12-12,3,0.06467138683785222,0.07299969456798283,False,True,1,True
2023-12-13,3,0.07272933472769322,0.07851308336968049,False,True,1,True
2023-12-14,3,0.07259026010246825,0.07664500884158502,False,True,1,True
2023-12-15,3,0.09736051291400583,0.07986194260268435,True,False,0,False
2023-12-18,4,0.060115740491243644,0.07127150016130054,False,True,1,True
2023-12-19,4,0.06241831100721594,0.06866648841323343,False,True,1,True
2023-12-20,4,0.04694366287500806,0.06637913106902661,False,False,0,False
2023-12-21,4,0.07455557577248664,0.07255649436007827,True,True,1,True
2023-12-22,4,0.038904707290729174,0.06850173686979272,False,False,0,False
2023-12-25,4,0.05690600042901469,0.07529398347974965,False,False,0,False
2023-12-26,4,0.052114533310239915,0.07438896725251509,False,True,2,True
2023-12-27,4,0.07613400243214223,0.0790679516627583,False,True,2,True
2023-12-28,4,0.01996079213646022,0.06599561413966708,False,False,0,False
2023-12-29,4,-0.008381050637831433,0.06001158554230585,False,False,0,False
2024-01-02,4,0.08192249183169463,0.07041626173709763,True,True,1,True
2024-01-03,4,0.06518710896497423,0.07111360085369231,False,True,2,True
2024-01-04,4,0.08244201498412931,0.07450544186475515,True,True,2,True
2024-01-05,4,0.06137306160189924,0.07729636491802173,False,True,1,True
2024-01-08,4,0.32572363290743606,0.10916083228002137,True,False,0,False
2024-01-09,4,0.23395298232654538,0.1033831644608725,True,False,0,False
2024-01-10,4,0.18814234231004007,0.09842814593491594,True,False,0,False
2024-01-11,4,0.12950816394561354,0.08373044140379118,True,False,0,False
2024-01-12,3,0.14003681270715204,0.0946079180766399,True,False,0,False
2024-01-15,3,0.17479840170482733,0.10127684783007125,True,False,0,False
2024-01-16,3,0.1984724654454619,0.10567663943701015,True,False,0,False
2024-01-17,3,0.36590032761658386,0.1369956715839855,True,False,0,False
2024-01-18,3,0.3022828121518316,0.13124069484812795,True,False,0,False
2024-01-19,3,0.29093792272803476,0.12313004929566268,True,False,0,False
2024-01-22,3,0.42194008881897466,0.14519534110266902,True,False,0,False
2024-01-23,4,0.3180800375801014,0.1159286867385144,True,False,0,False
2024-01-24,4,0.22304508135006867,0.1012094865688315,True,False,0,False
2024-01-25,4,0.05407130013055519,0.07980408159434511,False,True,1,True
2024-01-26,4,0.26047861133593975,0.10377887377847181,True,False,0,False
2024-01-29,4,0.37700467166469076,0.11132950997198247,True,False,0,False
2024-01-30,4,0.4916813039301253,0.12459077781868876,True,False,0,False
2024-01-31,4,0.4378507058918418,0.1256819804958565,True,False,0,False
2024-02-01,4,0.4550627732727383,0.12212813616306742,True,False,0,False
2024-02-02,3,0.30084935463815515,0.13752360473566216,True,False,0,False
2024-02-05,2,0.2671076378923352,0.1911910861823657,True,False,0,False
2024-02-06,3,0.0722196204908196,0.09328264167116516,False,True,1,True
2024-02-07,3,0.02574159392269567,0.07028914154387852,False,False,0,False
2024-02-08,3,0.0450825700379375,0.07601397207823585,False,False,0,False
2024-02-19,3,0.20690430130140317,0.10824646457519446,True,False,0,False
2024-02-20,4,0.1680282459919446,0.10239061983764203,True,False,0,False
2024-02-21,4,0.2193833205178439,0.10909227863048908,True,False,0,False
2024-02-22,4,0.10048969146697223,0.09253499196862792,True,True,2,True
2024-02-23,4,0.04101072281417983,0.08484481883363197,False,True,1,True
2024-02-26,4,0.14848356006930538,0.09910174992486884,True,False,0,False
2024-02-27,4,0.04197616926212935,0.08523866990759026,False,True,1,True
2024-02-28,4,0.15042655622222983,0.09818565341728105,True,False,0,False
2024-02-29,4,0.05888959301535871,0.08680559079209234,False,True,1,True
2024-03-01,4,0.058934785816166,0.08562729142274501,False,True,1,True
