date,open,high,low,close,volume,hold,settle,contract,expiry,expiry_source
2023-10-31,5944.0,5970.6,5898.4,5928.8,17518,93549,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-01,5949.6,5949.6,5897.6,5920.2,15197,93797,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-02,5932.0,5953.4,5858.0,5863.0,16040,94143,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-03,5879.2,5981.0,5875.0,5945.2,21729,96880,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-06,5990.2,6086.8,5986.8,6071.0,20202,95292,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-07,6052.6,6113.8,6042.6,6082.4,17776,96488,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-08,6082.4,6124.8,6056.8,6091.0,20596,97298,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-09,6087.8,6127.2,6036.2,6053.0,22482,99118,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-10,6033.2,6055.0,6006.0,6043.8,24129,101029,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-13,6074.4,6093.4,6036.8,6092.2,25697,105373,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-14,6088.8,6148.6,6074.0,6123.2,30183,109848,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-15,6180.0,6183.4,6122.0,6153.4,37685,115003,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-16,6135.0,6145.8,6082.8,6088.8,43848,122178,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-17,6079.8,6155.0,6071.8,6153.2,48384,130747,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-20,6165.4,6218.0,6115.8,6213.8,51325,130489,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-21,6225.0,6237.0,6151.2,6161.8,47498,126866,0.0,IM2312,2023-12-15,contract_code_cffex_rule
