window,cut_date,test_start,test_end,model,model_label,maturity_bucket,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,mean_observation_noise_carry_bps
4,2025-08-25,2025-08-26,2026-02-27,constant_carry,Constant carry noise,11-15,31,586.2554990325747,452.35457905027465,-1.9031755701868174,25.560844495370034,18.651372673790526,-1.019925627375033,0.921158635325365,57.71853058038974
4,2025-08-25,2025-08-26,2026-02-27,constant_carry,Constant carry noise,16-21,39,401.0497926848319,313.2873998014675,-38.85836561805246,23.16794201359174,18.039307281124795,2.5997402083066845,0.8034891022979728,57.71853058038973
4,2025-08-25,2025-08-26,2026-02-27,constant_carry,Constant carry noise,22-42,106,333.078805007098,254.6342829177252,-77.34194014675394,31.101297895719433,23.863069685373897,7.929763767358509,1.0088840320956032,57.71853058038971
4,2025-08-25,2025-08-26,2026-02-27,constant_carry,Constant carry noise,43-63,42,186.2874687006676,151.91718826161184,-85.14017894943441,28.803616840292616,23.838506146089436,13.359516997764656,0.9194617002605419,57.71853058038972
4,2025-08-25,2025-08-26,2026-02-27,constant_carry,Constant carry noise,64-126,128,132.1658616456367,102.36664213998485,20.545241047816212,37.57704013217492,28.79481324289671,-7.141598643677483,1.0360281755324212,57.71853058038971
4,2025-08-25,2025-08-26,2026-02-27,constant_carry,Constant carry noise,127-252,68,108.16367688318985,85.39189316781588,63.95054544357801,47.80982028723947,36.8334759642123,-26.405168060602218,1.115322783694199,57.7185305803897
4,2025-08-25,2025-08-26,2026-02-27,two_bucket_carry,Two carry-noise buckets,6-10,30,1031.691683407574,791.4949369766466,162.25492517133944,26.2294917744016,19.478050528366413,-4.292161438318059,1.4020266075448842,359.7544838130305
4,2025-08-25,2025-08-26,2026-02-27,two_bucket_carry,Two carry-noise buckets,11-15,31,594.2875534569066,454.9833335583936,104.05819263784471,25.919990769450582,18.75874467339124,-5.141902097542404,0.9240490654547155,359.7544838130305
4,2025-08-25,2025-08-26,2026-02-27,two_bucket_carry,Two carry-noise buckets,16-21,39,393.14633050302206,304.7450737082051,-10.151944997379553,22.653107255553458,17.52048992309089,0.8627068483380217,0.8484176659952875,38.978742494478475
4,2025-08-25,2025-08-26,2026-02-27,two_bucket_carry,Two carry-noise buckets,22-42,106,331.70571835625907,243.33715161907062,-21.687198756440445,30.83539123281918,22.65646809440388,2.3214054174880934,0.9501319780288672,38.978742494478475
4,2025-08-25,2025-08-26,2026-02-27,two_bucket_carry,Two carry-noise buckets,43-63,42,178.00382588917665,145.13473331539043,-71.07989435700166,27.606555933708215,22.76411186483089,11.175989695516689,0.7919049039966559,38.978742494478475
4,2025-08-25,2025-08-26,2026-02-27,two_bucket_carry,Two carry-noise buckets,64-126,128,131.02096891961557,98.14190051984536,-1.5714565690460838,36.57781012043882,27.31015265096667,-0.08724711491699111,0.9583932055239386,38.978742494478475
4,2025-08-25,2025-08-26,2026-02-27,two_bucket_carry,Two carry-noise buckets,127-252,68,94.6019709533729,68.11140924927611,32.32571446611319,42.97945825518951,30.033057386005073,-12.69574108008621,1.0094260719261485,38.97874249447849
4,2025-08-25,2025-08-26,2026-02-27,constant_log_futures,Constant log-futures noise,6-10,30,1048.012310360719,806.3889028025063,143.7498290020836,26.859326830154235,19.857709134885468,-3.782986708635144,1.562743735290934,304.92039385217436
4,2025-08-25,2025-08-26,2026-02-27,constant_log_futures,Constant log-futures noise,11-15,31,589.6650961099731,445.33026207099937,110.70014882728775,25.993664972077713,18.433312200203485,-5.562126895074207,1.1025633419864473,182.98797704234505
4,2025-08-25,2025-08-26,2026-02-27,constant_log_futures,Constant log-futures noise,16-21,39,388.4718161992174,296.3852904970363,32.61919617608041,22.366059933975283,17.03486366110321,-1.4591990948649067,0.8327595716095353,129.5534814049917
4,2025-08-25,2025-08-26,2026-02-27,constant_log_futures,Constant log-futures noise,22-42,106,338.0317390146202,243.2301664782419,-4.888757471132296,31.385063133127378,22.58430794870262,0.5891454188047063,0.9537735598461794,79.81930810655864
4,2025-08-25,2025-08-26,2026-02-27,constant_log_futures,Constant log-futures noise,43-63,42,175.32365109027424,141.03932190221582,-65.11642856198743,27.27021856147345,22.128619764210963,10.333966955494015,0.7679617148687057,45.15030641505709
4,2025-08-25,2025-08-26,2026-02-27,constant_log_futures,Constant log-futures noise,64-126,128,132.1502328598911,96.56107478926924,-11.480379924884014,36.64155049697331,26.832386205744704,3.1506226328959386,0.9761113045539263,25.91145675335634
4,2025-08-25,2025-08-26,2026-02-27,constant_log_futures,Constant log-futures noise,127-252,68,89.78142467940653,63.36544898844942,11.442289185252944,41.680305533942665,28.235641482867187,-4.0274586935703045,1.058973501013726,16.338942003314727
5,2026-02-27,2026-03-02,2026-08-21,constant_carry,Constant carry noise,6-10,30,933.0186341921776,742.4842363261811,-17.672040731686664,23.558650721885375,18.608456716300044,0.8421953849673022,1.017353957957507,59.85388480154906
5,2026-02-27,2026-03-02,2026-08-21,constant_carry,Constant carry noise,11-15,29,575.7066459492288,459.4535778018844,-5.010361033082821,24.36254721624932,19.669343601426746,0.49329981096647757,0.8515056004751699,59.85388480154906
5,2026-02-27,2026-03-02,2026-08-21,constant_carry,Constant carry noise,16-21,32,443.7426196265881,340.52753317221254,46.235855326172796,27.28613577234886,20.83764671167765,-2.7884322810964193,0.877989520127799,59.85388480154907
5,2026-02-27,2026-03-02,2026-08-21,constant_carry,Constant carry noise,22-42,110,292.6694905811366,223.1715536455205,-28.04469861487937,27.726742981603298,21.721698159897485,2.589944892259543,0.8802450429185114,59.85388480154911
5,2026-02-27,2026-03-02,2026-08-21,constant_carry,Constant carry noise,43-63,44,194.86742247540727,146.18871698984262,-25.443890475218403,32.51409639317492,24.40828892430756,3.387045721635621,0.9662431686591646,59.853884801549064
5,2026-02-27,2026-03-02,2026-08-21,constant_carry,Constant carry noise,64-126,123,114.11736193346337,91.6924357094402,10.176733249898481,34.05547439240641,27.224162402039276,-3.327492832637031,0.8790855013384283,59.8538848015491
5,2026-02-27,2026-03-02,2026-08-21,constant_carry,Constant carry noise,127-252,76,86.78389141076183,70.5310474297245,41.41961667430267,38.30782246412585,31.443216420761413,-17.88567193169656,0.8650398272219874,59.85388480154907
5,2026-02-27,2026-03-02,2026-08-21,two_bucket_carry,Two carry-noise buckets,6-10,30,850.2989989340895,689.5024727521853,20.066832123041667,21.54555474883158,17.475587053778508,-0.23988058761254555,1.171463871972893,362.1690590123685
5,2026-02-27,2026-03-02,2026-08-21,two_bucket_carry,Two carry-noise buckets,11-15,29,568.4494115726363,471.3743484717279,40.700166860829825,24.626549903511357,20.302187359312295,-1.2742670664993998,0.8770633362136746,362.1690590123685
5,2026-02-27,2026-03-02,2026-08-21,two_bucket_carry,Two carry-noise buckets,16-21,32,450.2481245039462,347.8066143353227,52.95007103118126,27.724393723967157,21.28929584684022,-3.1199676470891973,0.9832084431149304,38.883163762500125
5,2026-02-27,2026-03-02,2026-08-21,two_bucket_carry,Two carry-noise buckets,22-42,110,296.506505492424,230.40895188582002,0.31074028305203255,28.156929098712414,22.486099758480105,-0.17217016351025285,0.8562945394938801,38.88316376250013
5,2026-02-27,2026-03-02,2026-08-21,two_bucket_carry,Two carry-noise buckets,43-63,44,210.7171235108023,161.17266003540766,-14.272130296697751,35.41643366513368,27.020125693264763,1.8049788087466823,0.9451353391828853,38.88316376250012
5,2026-02-27,2026-03-02,2026-08-21,two_bucket_carry,Two carry-noise buckets,64-126,123,115.431187383331,91.70364372949184,-3.2986711554140915,34.08359414632352,27.13553028101588,1.063973714452943,0.852060448424482,38.88316376250013
5,2026-02-27,2026-03-02,2026-08-21,two_bucket_carry,Two carry-noise buckets,127-252,76,75.83115400973966,59.49444364580906,20.49332367904921,33.574314377713456,26.629194850757813,-8.981657082491534,0.7889937013698988,38.88316376250013
5,2026-02-27,2026-03-02,2026-08-21,constant_log_futures,Constant log-futures noise,6-10,30,845.9670581715876,667.9373597623071,-12.740090188563062,21.455161737376475,16.866671041450537,0.7083129635484511,1.2389309264659325,302.70835053200454
5,2026-02-27,2026-03-02,2026-08-21,constant_log_futures,Constant log-futures noise,11-15,29,557.0490163290966,453.3449820175199,40.600762323937786,23.944424094402017,19.489520646370035,-1.3967222530186048,1.0030860995997937,183.4105545318174
5,2026-02-27,2026-03-02,2026-08-21,constant_log_futures,Constant log-futures noise,16-21,32,448.8942597396363,352.5135717361265,41.62791562330846,27.753426466969472,21.548023043828692,-2.5151713472391464,0.9605846406588608,126.97640751042556
5,2026-02-27,2026-03-02,2026-08-21,constant_log_futures,Constant log-futures noise,22-42,110,300.56764626706297,234.18893115289197,3.378890318464735,28.458910152645114,22.731623318472693,-0.5334270660806065,0.8517631357716503,78.22182499164889
5,2026-02-27,2026-03-02,2026-08-21,constant_log_futures,Constant log-futures noise,43-63,44,207.57175824433656,160.55756229396337,-11.509999072808899,34.808564206924416,26.80046063476084,1.6901167812311129,0.9225323258374943,45.26345074622824
5,2026-02-27,2026-03-02,2026-08-21,constant_log_futures,Constant log-futures noise,64-126,123,112.16688158951301,87.26923564874285,-3.7589465863053895,32.34906509636478,25.46508585662806,1.1961389315951,0.8411047160085712,25.52820828882847
5,2026-02-27,2026-03-02,2026-08-21,constant_log_futures,Constant log-futures noise,127-252,76,71.1274644906686,56.18473585884949,10.553262072486456,31.29074249372546,25.026732449725998,-4.672592914894614,0.81314211731068,16.272386238922614
