date,open,high,low,close,volume
2023-09-13,6169.529,6177.385,6059.287,6103.137,12503267600
2023-09-14,6101.773,6102.488,6037.717,6068.713,11444184400
2023-09-15,6082.194,6117.821,6046.874,6079.063,12419690300
2023-09-18,6058.297,6106.265,6029.973,6083.969,11839445700
2023-09-19,6077.396,6077.396,6011.908,6031.042,11274599300
2023-09-20,6020.91,6038.752,5982.105,5982.558,10572797400
2023-09-21,5968.35,5999.401,5931.104,5939.664,9970952900
2023-09-22,5934.266,6056.446,5923.243,6054.928,13355677200
2023-09-25,6051.821,6058.465,6014.613,6027.394,12953261200
2023-09-26,6017.302,6034.855,5996.047,5996.11,11406156300
2023-09-27,5989.803,6063.912,5989.16,6034.061,12166233000
2023-09-28,6048.833,6085.533,6048.677,6078.945,12775925600
2023-10-09,6073.276,6075.464,6025.358,6059.965,13675596400
2023-10-10,6069.905,6084.931,6037.466,6043.482,14081531200
2023-10-11,6056.029,6105.416,6040.502,6059.401,14360113000
2023-10-12,6088.545,6106.95,6064.819,6104.456,14545282400
2023-10-13,6080.328,6091.538,6063.558,6081.866,14411508900
2023-10-16,6089.424,6089.482,5996.789,6024.359,16445921700
2023-10-17,6027.914,6028.021,5967.3,6011.37,13942123400
2023-10-18,5992.509,5992.509,5905.836,5908.008,14506515300
2023-10-19,5879.808,5929.58,5842.412,5842.892,15549780100
2023-10-20,5816.717,5855.462,5767.021,5774.32,13896434900
2023-10-23,5754.177,5754.245,5613.73,5638.136,14584585400
2023-10-24,5654.926,5734.549,5625.709,5719.323,15155306600
2023-10-25,5753.685,5811.268,5752.786,5778.905,16359732600
2023-10-26,5745.534,5817.634,5724.0,5811.692,15727583200
2023-10-27,5792.606,5937.54,5774.631,5916.678,17217964600
2023-10-30,5899.38,6017.281,5898.694,6006.559,17928105200
2023-10-31,6003.365,6013.733,5934.205,5969.341,16531844100
2023-11-01,5969.807,5983.869,5943.193,5958.418,14745112800
2023-11-02,5958.477,5983.222,5885.247,5885.247,14014441200
2023-11-03,5895.602,5992.746,5895.602,5973.167,14612020600
2023-11-06,6007.434,6097.037,6007.434,6096.57,18660314600
2023-11-07,6088.511,6132.138,6068.244,6116.757,17394670700
2023-11-08,6114.987,6160.242,6099.292,6138.938,18396408800
2023-11-09,6135.072,6160.979,6087.728,6100.693,16224431900
2023-11-10,6079.473,6097.611,6055.988,6088.558,14156760500
2023-11-13,6107.269,6144.635,6095.275,6144.635,15035960600
2023-11-14,6143.481,6189.5,6133.223,6181.98,16017236300
2023-11-15,6226.198,6234.536,6184.9,6207.268,16761318800
2023-11-16,6188.826,6193.638,6143.819,6145.151,14368211600
2023-11-17,6135.825,6199.231,6131.666,6199.228,14598965800
2023-11-20,6211.339,6254.136,6184.638,6253.276,16024627100
2023-11-21,6258.741,6267.22,6200.691,6212.125,17615066500
2023-11-22,6193.358,6221.871,6132.97,6132.97,17118316300
2023-11-23,6123.586,6199.875,6107.004,6197.526,15210718300
2023-11-24,6194.024,6194.024,6098.961,6115.407,14981599200
2023-11-27,6107.562,6130.401,6076.711,6111.364,15443307700
2023-11-28,6099.512,6143.302,6065.688,6143.302,12836813300
2023-11-29,6138.761,6154.898,6103.983,6113.366,13564395200
2023-11-30,6104.774,6110.408,6031.475,6080.547,13103299900
2023-12-01,6078.639,6142.739,6059.803,6130.051,14535274400
2023-12-04,6131.588,6147.053,6110.253,6114.393,15341436500
2023-12-05,6098.117,6098.117,5992.6,5992.6,14277542700
2023-12-06,5977.611,6066.418,5970.282,6023.804,14432062400
2023-12-07,6019.96,6044.858,5983.245,6020.83,14853662700
2023-12-08,6021.919,6056.063,6003.144,6003.144,16797128200
2023-12-11,5984.677,6080.804,5933.736,6075.08,15984343600
2023-12-12,6070.875,6084.279,6050.735,6078.99,12971208800
2023-12-13,6067.781,6076.361,6019.553,6019.553,12254715000
2023-12-14,6038.921,6072.615,5989.234,5991.862,12019938200
2023-12-15,6000.259,6016.396,5935.317,5951.6,12371010000
2023-12-18,5939.435,5941.897,5845.961,5857.005,12525942300
2023-12-19,5853.195,5887.765,5820.513,5863.542,11168267500
2023-12-20,5869.561,5873.759,5761.312,5761.312,11163005300
2023-12-21,5739.021,5814.036,5685.642,5798.912,12494910000
2023-12-22,5797.609,5819.65,5713.805,5733.909,14116708500
2023-12-25,5726.562,5753.434,5698.324,5735.726,10963896300
2023-12-26,5734.15,5734.556,5632.872,5651.588,10406327600
2023-12-27,5658.194,5703.169,5636.943,5696.161,10826535400
2023-12-28,5687.753,5824.395,5660.13,5805.527,14413438300
2023-12-29,5797.576,5891.627,5795.757,5887.235,13469077800
2024-01-02,5891.174,5891.227,5854.592,5854.749,12837767000
2024-01-03,5838.553,5861.411,5785.252,5824.043,11924892500
2024-01-04,5814.937,5814.937,5753.467,5783.016,10295253400
2024-01-05,5779.757,5796.759,5652.126,5675.809,11920519700
2024-01-08,5664.453,5664.453,5543.575,5543.575,11051272600
2024-01-09,5553.184,5607.218,5513.13,5553.304,11022322300
2024-01-10,5540.664,5580.419,5462.362,5512.069,10649944600
2024-01-11,5507.803,5634.025,5502.294,5611.115,12471774900
2024-01-12,5601.098,5646.272,5574.408,5574.493,12106688100
2024-01-15,5558.148,5607.134,5520.363,5559.376,10866718400
2024-01-16,5555.0,5566.21,5463.295,5539.474,11680310800
2024-01-17,5529.895,5529.895,5389.122,5389.122,10403735400
2024-01-18,5360.206,5375.234,5214.899,5373.424,14871103600
2024-01-19,5364.807,5395.137,5304.96,5306.986,10643108600
2024-01-22,5298.314,5298.314,4970.198,5000.834,14425251200
2024-01-23,4992.792,5102.443,4939.52,5079.632,13028824100
2024-01-24,5102.825,5151.423,4951.901,5143.408,14332644100
2024-01-25,5143.289,5316.261,5112.535,5316.195,16314491700
2024-01-26,5303.961,5352.846,5253.317,5269.765,15541566100
2024-01-29,5282.817,5301.871,5131.247,5131.247,15000089200
2024-01-30,5099.587,5144.294,4978.91,4984.66,12501506900
2024-01-31,4949.188,4986.102,4775.623,4785.032,15823715500
2024-02-01,4753.639,4858.715,4684.473,4750.444,14711551600
2024-02-02,4753.668,4802.619,4431.815,4574.669,17688543500
2024-02-05,4534.752,4534.752,4177.943,4293.07,21127433000
2024-02-06,4229.794,4641.455,4192.965,4592.444,21018741000
2024-02-07,4604.122,4848.236,4599.351,4797.846,21621331700
2024-02-08,4826.143,5067.228,4826.143,4993.105,21762005900
2024-02-19,5062.685,5071.2,4950.328,5029.586,20387099600
2024-02-20,5004.42,5058.217,4950.394,5046.012,15434428500
2024-02-21,5001.657,5208.649,4974.076,5073.482,19328052700
2024-02-22,5075.432,5152.024,5066.003,5151.534,15306429500
2024-02-23,5169.013,5225.67,5114.145,5225.67,17121369300
2024-02-26,5234.805,5325.77,5201.125,5255.396,18447164300
2024-02-27,5237.105,5394.034,5218.586,5394.034,18262237200
2024-02-28,5403.496,5478.086,5152.052,5152.052,26074238200
2024-02-29,5122.18,5344.605,5122.18,5344.605,18803623800
2024-03-01,5354.731,5411.323,5322.086,5401.939,18443648700
2024-03-04,5412.908,5429.801,5332.238,5428.336,17930820500
2024-03-05,5392.877,5417.816,5337.665,5375.132,17416691100
2024-03-06,5346.079,5434.402,5306.456,5381.459,15468437100
2024-03-07,5389.989,5430.392,5303.277,5303.277,16102386000
2024-03-08,5309.594,5386.176,5283.146,5370.372,13913089500
2024-03-11,5358.837,5466.646,5350.292,5466.646,16413344200
2024-03-12,5477.131,5524.505,5443.965,5496.355,18398414000
2024-03-13,5501.586,5561.082,5476.786,5521.784,18127080700
2024-03-14,5521.716,5546.103,5433.208,5486.646,16894817200
2024-03-15,5472.893,5555.644,5459.317,5555.644,16109584100
2024-03-18,5573.927,5648.012,5559.052,5648.012,19341951700
2024-03-19,5633.504,5660.502,5607.256,5607.475,18111809600
2024-03-20,5600.125,5663.738,5600.125,5659.154,17930765400
2024-03-21,5674.495,5690.455,5623.297,5658.279,19433294600
2024-03-22,5649.083,5660.145,5546.779,5595.885,21025432700
2024-03-25,5581.351,5611.694,5466.062,5466.062,20470538200
2024-03-26,5454.653,5495.633,5381.853,5447.748,18318068400
2024-03-27,5435.971,5436.652,5266.231,5266.231,17917350400
2024-03-28,5262.22,5430.767,5262.22,5382.236,17859873500
2024-03-29,5383.745,5441.26,5345.872,5441.26,16865343100
2024-04-01,5461.587,5559.868,5461.587,5559.056,19102570700
2024-04-02,5556.517,5556.517,5490.824,5531.052,19609745900
2024-04-03,5518.911,5525.034,5457.614,5500.926,18629106600
2024-04-08,5487.632,5492.397,5399.915,5399.915,18657335900
2024-04-09,5392.994,5468.911,5384.03,5468.911,15920115900
2024-04-10,5456.972,5456.972,5325.912,5367.052,16745949300
2024-04-11,5330.685,5441.502,5322.839,5379.915,16514370000
2024-04-12,5379.17,5408.52,5330.542,5338.769,15717452200
2024-04-15,5320.809,5364.594,5205.713,5287.512,20171102800
2024-04-16,5255.207,5283.832,5063.94,5066.66,20717194000
2024-04-17,5109.082,5287.456,5109.082,5287.456,19007939500
2024-04-18,5276.471,5345.436,5233.899,5286.719,18822505800
2024-04-19,5257.01,5312.151,5224.319,5264.389,17887021100
2024-04-22,5231.564,5300.793,5187.523,5246.082,16776222900
2024-04-23,5234.434,5260.294,5194.262,5218.428,15685139400
2024-04-24,5219.257,5305.607,5200.598,5305.607,16266674900
2024-04-25,5285.137,5357.441,5273.553,5313.986,15783124800
2024-04-26,5303.151,5420.365,5303.151,5415.938,21088692700
2024-04-29,5422.411,5550.214,5422.411,5545.235,24143974400
2024-04-30,5530.944,5542.193,5482.988,5497.43,20490974300
2024-05-06,5558.924,5611.266,5558.924,5606.842,20517402800
2024-05-07,5604.271,5631.953,5593.008,5625.336,18562254000
2024-05-08,5605.592,5605.592,5529.914,5536.659,17573098800
2024-05-09,5533.513,5638.64,5533.513,5626.825,17267826100
2024-05-10,5632.759,5641.922,5549.61,5574.232,18837704400
2024-05-13,5537.928,5556.708,5479.946,5520.804,18030863900
2024-05-14,5524.434,5574.251,5524.263,5551.675,16958506700
2024-05-15,5541.809,5551.263,5491.523,5497.235,16330459800
2024-05-16,5508.95,5539.919,5474.281,5488.946,16979800200
2024-05-17,5489.416,5564.063,5478.297,5563.231,18287308100
2024-05-20,5563.654,5612.346,5548.903,5596.777,19747644100
2024-05-21,5586.009,5586.009,5517.39,5536.745,17295988000
2024-05-22,5532.843,5553.697,5508.758,5539.66,16800299300
2024-05-23,5521.18,5521.18,5402.004,5412.824,17580671000
2024-05-24,5401.583,5436.813,5350.106,5350.107,15105011400
2024-05-27,5358.076,5404.616,5295.088,5404.616,15140911400
2024-05-28,5390.405,5414.978,5343.83,5348.029,14845805000
2024-05-29,5336.697,5386.783,5324.687,5351.252,14269866300
2024-05-30,5334.797,5371.807,5311.439,5334.296,14132317100
2024-05-31,5334.099,5381.716,5334.099,5355.21,13673513700
2024-06-03,5350.643,5351.252,5246.169,5284.624,16338815200
2024-06-04,5267.362,5319.709,5229.676,5313.708,14512777700
2024-06-05,5294.301,5330.804,5244.085,5244.085,13214350400
2024-06-06,5249.95,5275.886,5113.214,5130.869,16979325500
2024-06-07,5159.173,5189.995,5096.084,5153.587,13032020200
2024-06-11,5132.218,5208.179,5086.86,5198.923,12853390400
2024-06-12,5188.358,5231.469,5186.607,5216.462,12165075200
2024-06-13,5214.412,5219.708,5170.166,5180.236,13117250700
2024-06-14,5164.872,5190.712,5138.358,5180.651,13913297800
2024-06-17,5158.98,5211.39,5151.277,5183.968,12461637200
2024-06-18,5183.271,5237.819,5177.277,5227.254,13546066300
2024-06-19,5230.488,5241.967,5159.995,5159.995,12580622900
2024-06-20,5150.796,5174.875,5052.885,5056.138,14150084500
2024-06-21,5040.629,5090.57,5014.479,5055.333,11120168900
2024-06-24,5025.517,5029.731,4884.497,4887.777,12891516300
2024-06-25,4885.89,4907.955,4814.68,4847.611,11259330000
2024-06-26,4842.004,4988.308,4812.1,4986.384,13802752900
2024-06-27,4964.659,4969.089,4862.634,4864.086,12164291100
2024-06-28,4855.351,4968.273,4851.835,4895.987,13456779600
2024-07-01,4894.559,4954.175,4839.745,4940.247,12921932500
2024-07-02,4940.7,4951.197,4886.702,4905.65,11882798600
2024-07-03,4900.667,4906.51,4857.775,4867.133,10230030100
2024-07-04,4868.546,4883.737,4745.909,4761.868,12120225700
2024-07-05,4753.734,4828.843,4711.868,4810.794,11060246700
2024-07-08,4801.489,4801.489,4679.285,4693.965,12354877500
2024-07-09,4689.275,4810.322,4645.197,4797.063,14851118700
2024-07-10,4783.17,4829.208,4768.125,4777.682,13840154300
2024-07-11,4846.105,4896.146,4821.414,4893.594,15319046900
2024-07-12,4884.413,4897.169,4858.303,4878.02,13085417900
2024-07-15,4869.004,4869.004,4815.407,4827.602,12641301700
2024-07-16,4815.739,4845.349,4786.214,4836.718,12089150200
2024-07-17,4834.441,4842.721,4786.348,4795.624,12042511600
2024-07-18,4763.304,4822.619,4714.601,4812.426,12172778100
2024-07-19,4788.771,4854.707,4778.714,4821.423,11264795500
2024-07-22,4822.639,4848.307,4798.117,4826.871,11073212100
2024-07-23,4825.745,4825.745,4694.953,4694.953,12049520100
2024-07-24,4682.062,4713.074,4625.422,4631.011,12109198000
2024-07-25,4602.633,4678.659,4587.707,4632.567,10853045800
2024-07-26,4638.312,4710.569,4638.312,4702.08,11069103300
2024-07-29,4707.279,4707.279,4670.8,4685.646,10931960500
2024-07-30,4674.924,4716.214,4637.41,4702.491,11231559400
